Home Game #,Game Date,Year,Month,Day of Week,Weekend / Weekday,Game Time,Day/Night,Full Season Tickets (#),Full Season Revenue ($),Full Season Avg Price ($),Partial Season Tickets (#),Partial Season Revenue ($),Partial Season Avg Price ($),Group Tickets (#),Group Revenue ($),Group Avg Price ($),Single Game Tickets (#),Single Game Revenue ($),Single Game Avg Price ($),No-Show Rate,Total Tickets (#),Actual Attendance (#),Total Revenue ($),Average Ticket Price ($),Is First Month
1,2021-04-01,2021,April,Thursday,Weekday,13:10:00,Day Game,9361,417794.04,44.63,5132,191572.9,37.33,5279,247218.97,46.83,16916,1013906.6,59.94,0.142,36688,31478,1870492.51,50.98,True
2,2021-04-02,2021,April,Friday,Weekend,19:10:00,Night Game,9374,415278.62,44.3,4201,114894.65,27.35,1922,49845.39,25.93,9023,272800.32,30.23,0.1752,24520,20224,852818.98,34.78,True
3,2021-04-03,2021,April,Saturday,Weekend,18:10:00,Night Game,9398,414149.54,44.07,4998,143615.64,28.73,4120,125700.19,30.51,10411,373733.78,35.9,0.1643,28927,24174,1057199.15,36.55,True
4,2021-04-04,2021,April,Sunday,Weekend,13:10:00,Day Game,9374,415431.58,44.32,4729,161003.2,34.05,2309,69639.69,30.16,12149,411154.96,33.84,0.1609,28561,23966,1057229.43,37.02,True
5,2021-04-09,2021,April,Friday,Weekend,19:10:00,Night Game,9376,416211.65,44.39,3446,111596.46,32.38,6806,206055.89,30.28,10282,408009.37,39.68,0.157,29910,25214,1141873.37,38.18,True
6,2021-04-10,2021,April,Saturday,Weekend,18:10:00,Night Game,9427,418657.54,44.41,4038,148050.04,36.66,12395,531841.59,42.91,11146,681695.95,61.16,0.1468,37006,31574,1780245.12,48.11,True
7,2021-04-11,2021,April,Sunday,Weekend,13:10:00,Day Game,9394,416023.93,44.29,3684,127718.2,34.67,8496,302107.47,35.56,13462,593008.86,44.05,0.1449,35036,29959,1438858.46,41.07,True
8,2021-04-19,2021,April,Monday,Weekday,18:40:00,Night Game,8787,391407.91,44.54,2475,59167.55,23.91,1407,23292.0,16.55,9874,67615.34,6.85,0.167,22543,18778,541482.8,24.02,True
9,2021-04-20,2021,April,Tuesday,Weekday,18:40:00,Night Game,8665,387781.49,44.75,3348,87875.4,26.25,1260,30497.36,24.2,9755,68962.55,7.07,0.1686,23028,19145,575116.8,24.97,True
10,2021-04-21,2021,April,Wednesday,Weekday,12:40:00,Day Game,8608,385209.06,44.75,2228,49983.07,22.43,7724,130694.99,16.92,7177,199092.11,27.74,0.1616,25737,21578,764979.23,29.72,True
11,2021-04-22,2021,April,Thursday,Weekday,19:10:00,Night Game,9141,405682.78,44.38,3156,84440.83,26.76,3253,53140.15,16.34,10229,101836.56,9.96,0.1633,25779,21569,645100.32,25.02,True
12,2021-04-23,2021,April,Friday,Weekend,19:10:00,Night Game,9367,414622.31,44.26,3213,78351.27,24.39,3383,60605.84,17.91,15713,348573.02,22.18,0.1445,31676,27099,902152.44,28.48,True
13,2021-04-24,2021,April,Saturday,Weekend,18:10:00,Night Game,9478,419416.75,44.25,5316,188270.76,35.42,5893,135501.17,22.99,12031,363972.95,30.25,0.1558,32718,27621,1107161.63,33.84,True
14,2021-04-25,2021,April,Sunday,Weekend,13:10:00,Day Game,9224,406988.46,44.12,4288,118425.2,27.62,1857,43016.35,23.16,10749,328902.16,30.6,0.1665,26118,21769,897332.17,34.36,True
15,2021-05-03,2021,May,Monday,Weekday,18:40:00,Night Game,8509,379168.73,44.56,2073,42466.57,20.49,1374,30434.64,22.15,8487,68391.27,8.06,0.1726,20443,16915,520461.21,25.46,False
16,2021-05-04,2021,May,Tuesday,Weekday,18:40:00,Night Game,8428,375717.51,44.58,2767,69539.01,25.13,1603,26300.26,16.41,7938,59669.66,7.52,0.1755,20736,17097,531226.44,25.62,False
17,2021-05-05,2021,May,Wednesday,Weekday,18:40:00,Night Game,8502,377273.48,44.37,3289,87515.23,26.61,1864,34692.49,18.61,8902,70377.96,7.91,0.1702,22557,18718,569859.16,25.26,False
18,2021-05-06,2021,May,Thursday,Weekday,12:10:00,Day Game,8360,370827.12,44.36,2173,45975.55,21.16,1723,62840.6,36.47,6305,111024.36,17.61,0.1848,18561,15131,590667.63,31.82,False
19,2021-05-07,2021,May,Friday,Weekend,19:10:00,Night Game,9451,415619.3,43.98,3802,100624.79,26.47,5305,106226.88,20.02,7951,199441.7,25.08,0.1706,26509,21987,821912.67,31.01,False
20,2021-05-08,2021,May,Saturday,Weekend,18:10:00,Night Game,9656,426177.36,44.14,4332,150063.48,34.64,6552,185939.56,28.38,12581,427855.79,34.01,0.1524,33121,28073,1190036.19,35.93,False
21,2021-05-09,2021,May,Sunday,Weekend,13:10:00,Day Game,9357,414537.49,44.3,4242,146182.7,34.46,6647,192418.66,28.95,9797,334959.94,34.19,0.1601,30043,25233,1088098.79,36.22,False
22,2021-05-10,2021,May,Monday,Weekday,18:40:00,Night Game,8609,384516.59,44.66,3115,81135.35,26.05,1493,25639.44,17.17,10116,51038.99,5.05,0.1655,23333,19471,542330.37,23.24,False
23,2021-05-11,2021,May,Tuesday,Weekday,18:40:00,Night Game,8723,390086.93,44.72,3346,87478.19,26.14,1688,37266.06,22.08,10390,63040.96,6.07,0.1646,24147,20172,577872.14,23.93,False
24,2021-05-12,2021,May,Wednesday,Weekday,12:10:00,Day Game,8449,377299.9,44.66,2232,48467.23,21.71,10212,174513.34,17.09,5262,129797.98,24.67,0.1631,26155,21889,730078.45,27.91,False
25,2021-05-25,2021,May,Tuesday,Weekday,18:40:00,Night Game,9064,402932.37,44.45,2950,72856.41,24.7,1264,38059.89,30.11,18133,107526.93,5.93,0.1382,31411,27070,621375.6,19.78,False
26,2021-05-26,2021,May,Wednesday,Weekday,12:10:00,Day Game,8996,400106.88,44.48,2315,52347.55,22.61,9276,185914.67,20.04,9295,199362.58,21.45,0.1524,29882,25328,837731.68,28.03,False
27,2021-05-28,2021,May,Friday,Weekend,19:10:00,Night Game,9591,421606.79,43.96,4891,137250.34,28.06,4886,53795.72,11.01,11226,255576.86,22.77,0.1603,30594,25690,868229.71,28.38,False
28,2021-05-29,2021,May,Saturday,Weekend,15:10:00,Day Game,9341,415523.35,44.48,5037,151173.5,30.01,5584,140529.55,25.17,14804,539442.37,36.44,0.1469,34766,29659,1246668.77,35.86,False
29,2021-05-30,2021,May,Sunday,Weekend,13:10:00,Day Game,9335,413465.41,44.29,4399,151086.7,34.35,9930,148997.09,15.0,13097,404128.84,30.86,0.1449,36761,31434,1117678.04,30.4,False
30,2021-06-08,2021,June,Tuesday,Weekday,18:40:00,Night Game,9126,405471.43,44.43,2303,51069.24,22.18,4007,63075.64,15.74,4646,97152.95,20.91,0.1908,20082,16250,616769.26,30.71,False
31,2021-06-09,2021,June,Wednesday,Weekday,18:40:00,Night Game,9178,406978.73,44.34,3000,78508.51,26.17,3575,65200.21,18.24,4781,93529.03,19.56,0.1924,20534,16583,644216.48,31.37,False
32,2021-06-10,2021,June,Thursday,Weekday,13:10:00,Day Game,8921,395532.13,44.34,2288,51363.07,22.45,4536,132304.6,29.17,6023,169280.2,28.11,0.1786,21768,17880,748480.0,34.38,False
33,2021-06-11,2021,June,Friday,Weekend,19:10:00,Night Game,9333,414081.4,44.37,4124,113789.32,27.59,4282,106143.22,24.79,6985,206557.63,29.57,0.1781,24724,20321,840571.57,34.0,False
34,2021-06-12,2021,June,Saturday,Weekend,15:10:00,Day Game,9329,413646.18,44.34,4578,158001.57,34.51,8489,246411.44,29.03,10493,389415.55,37.11,0.1547,32889,27801,1207474.74,36.71,False
35,2021-06-13,2021,June,Sunday,Weekend,13:10:00,Day Game,9399,416748.38,44.34,4342,151422.54,34.87,5665,184419.55,32.55,17236,707552.63,41.05,0.1396,36642,31527,1460143.1,39.85,False
36,2021-06-24,2021,June,Thursday,Weekday,19:10:00,Night Game,9216,409421.84,44.43,2707,68522.59,25.31,3801,78129.66,20.56,4060,126694.62,31.21,0.1966,19784,15894,682768.71,34.51,False
37,2021-06-25,2021,June,Friday,Weekend,19:10:00,Night Game,9474,417066.81,44.02,4460,118146.3,26.49,7745,163359.4,21.09,9776,236625.46,24.2,0.1589,31455,26457,935197.97,29.73,False
38,2021-06-26,2021,June,Saturday,Weekend,15:10:00,Day Game,9333,414171.79,44.38,4025,145327.58,36.11,11867,365399.86,30.79,12103,445547.45,36.81,0.1446,37328,31930,1370446.68,36.71,False
39,2021-06-27,2021,June,Sunday,Weekend,13:10:00,Day Game,9349,414911.53,44.38,4547,154627.2,34.01,5674,165849.14,29.23,13784,446266.97,32.38,0.149,33354,28384,1181654.84,35.43,False
40,2021-06-29,2021,June,Tuesday,Weekday,19:10:00,Night Game,9304,413864.48,44.48,2653,64654.58,24.37,8584,169935.08,19.8,2854,96651.4,33.87,0.1848,23395,19072,745105.54,31.85,False
